sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
(also known as diflucan) 1 tablet by mouth every week for 4 weeks,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,4,,week,54,64,4 week,,,,,
(also known as diflucan) 1 tablet by mouth every week for 6 months,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,6,,month,54,65,6 month,,,,,
(also known as diflucan) 2 tablets by mouth every week,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,week,,,,,,,,,44,54,every week,every week,,,,,,,,,,,
(also known as drisdol) 1 capsule by mouth every week for 8 weeks,,,,,1,,capsule,23,33, 1 capsule,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,8,,week,54,64,8 week,,,,,
"(also known as duragesic) 1 patch on dry, cleaned skin every other day",,,,,1,,transdermal patch,25,33, 1 patch,,,,,,,topical,42,54,cleaned skin,1,,2,,day,,,,,,,,,55,70,every other day,every 2 days,,,,,,,,,,,
"(also known as duragesic) 2 patches on dry, cleaned skin every other day",,,,,2,,transdermal patch,25,33, 2 patch,,,,,,,topical,44,56,cleaned skin,1,,2,,day,,,,,,,,,57,72,every other day,every 2 days,,,,,,,,,,,
(also known as flomax) 1 capsule by mouth with dinner,,,,,1,,capsule,22,32, 1 capsule,,,,,,,oral,33,41,by mouth,,,,,,,,,,with dinner,,,,42,53,with dinner, with dinner,,,,,,,,,,,
(also known as fosamax) 1 tablet by mouth every week,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,week,,,,,,,,,42,52,every week,every week,,,,,,,,,,,
(also known as gleostine) 1 capsule by mouth one time only for every 42 days,,,,,1,,capsule,25,35, 1 capsule,,,,,,,oral,36,44,by mouth,1,,42,,day,,,,,,,,,63,75,every 42 day,every 42 days,,,,,,,,,,,
(also known as glucophage xr) 1 tablet by mouth with dinner,,,,,1,,tablet,29,35, 1 tab,,,,,,,oral,39,47,by mouth,,,,,,,,,,with dinner,,,,48,59,with dinner, with dinner,,,,,,,,,,,
(also known as glucophage xr) 2 tablets by mouth with dinner,,,,,2,,tablet,29,35, 2 tab,,,,,,,oral,40,48,by mouth,,,,,,,,,,with dinner,,,,49,60,with dinner, with dinner,,,,,,,,,,,
(also known as glucophage xr) 3 tablets by mouth with dinner,,,,,3,,tablet,29,35, 3 tab,,,,,,,oral,40,48,by mouth,,,,,,,,,,with dinner,,,,49,60,with dinner, with dinner,,,,,,,,,,,
(also known as glucophage xr) 4 tablets by mouth with dinner,,,,,4,,tablet,29,35, 4 tab,,,,,,,oral,40,48,by mouth,,,,,,,,,,with dinner,,,,49,60,with dinner, with dinner,,,,,,,,,,,
(also known as glucophage) 1 tablet by mouth bid cc,,,,,1,,tablet,26,32, 1 tab,,,,,,,oral,36,44,by mouth,2,,1,,day,,,,,,,,,45,48,bid,twice daily,,,,,,,,,,,
(also known as glucophage) 1 tablet by mouth with dinner,,,,,1,,tablet,26,32, 1 tab,,,,,,,oral,36,44,by mouth,,,,,,,,,,with dinner,,,,45,56,with dinner, with dinner,,,,,,,,,,,
(also known as glucophage) 2 tablets by mouth with dinner,,,,,2,,tablet,26,32, 2 tab,,,,,,,oral,37,45,by mouth,,,,,,,,,,with dinner,,,,46,57,with dinner, with dinner,,,,,,,,,,,
(also known as lasix) 1 tablet by mouth every other day,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,1,,2,,day,,,,,,,,,40,55,every other day,every 2 days,,,,,,,,,,,
(also known as levaquin) 1 tablet by mouth every other day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,,,,,,,,,,,
(also known as levaquin) 1 tablet by mouth every other day for 10 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,10,,day,59,69,10 day,,,,,
(also known as levaquin) 1 tablet by mouth every other day for 14 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,14,,day,59,69,14 day,,,,,
(also known as levaquin) 1 tablet by mouth every other day for 4 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,4,,day,59,68,4 day,,,,,
(also known as levaquin) 1 tablet by mouth every other day for 5 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,5,,day,59,68,5 day,,,,,
(also known as levaquin) 1 tablet by mouth every other day for 7 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,7,,day,59,68,7 day,,,,,
(also known as lipitor) 1 tablet by mouth every other day,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,2,,day,,,,,,,,,42,57,every other day,every 2 days,,,,,,,,,,,
(also known as lithobid) 1 tablet by mouth twice a day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,,,,,51,54,day,daily,,,,,,,,,,,
(also known as lithobid) 2 tablets by mouth twice a day,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,,,,,,,,,,,
(also known as macrobid) 1 capsule by mouth daily,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,,,,,,,,,,,
(also known as macrobid) 1 capsule by mouth daily for 5 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,5,,day,50,59,5 day,,,,,
(also known as macrobid) 1 capsule by mouth daily for 7 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,7,,day,50,59,7 day,,,,,
(also known as macrobid) 1 capsule by mouth every 12 hours for 10 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,12,,hour,,,,,,,,,44,57,every 12 hour,every 12 hours,10,,day,59,69,10 day,,,,,
(also known as macrobid) 1 capsule by mouth every 12 hours for 3 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,12,,hour,,,,,,,,,44,57,every 12 hour,every 12 hours,3,,day,59,68,3 day,,,,,
(also known as macrobid) 1 capsule by mouth every 12 hours for 5 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,12,,hour,,,,,,,,,44,57,every 12 hour,every 12 hours,5,,day,59,68,5 day,,,,,
(also known as macrobid) 1 capsule by mouth every 12 hours for 7 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,12,,hour,,,,,,,,,44,57,every 12 hour,every 12 hours,7,,day,59,68,7 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,,,,,,,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 10 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,10,,day,56,66,10 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 14 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,14,,day,56,66,14 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 3 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,3,,day,56,65,3 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 5 day(s),,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,5,,day,56,65,5 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 5 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,5,,day,56,65,5 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 7 day(s),,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,7,,day,56,65,7 day,,,,,
(also known as macrobid) 1 capsule by mouth twice a day for 7 days,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,7,,day,56,65,7 day,,,,,
(also known as mobic) 1 tablet by mouth with breakfast,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,,,,,,,,,,with breakfast,,,,40,54,with breakfast, with breakfast,,,,,,,,,,,
(also known as phoslo) 1 capsule by mouth with each meal,,,,,1,,capsule,22,32, 1 capsule,,,,,,,oral,33,41,by mouth,,,,,,,,,,with meal,,,,42,56,with each meal, with meal,,,,,,,,,,,
(also known as phoslo) 2 capsules by mouth with each meal,,,,,2,,capsule,22,32, 2 capsule,,,,,,,oral,34,42,by mouth,,,,,,,,,,with meal,,,,43,57,with each meal, with meal,,,,,,,,,,,
(also known as prilosec) 1 capsule by mouth with breakfast,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,,,,,,,,,,with breakfast,,,,44,58,with breakfast, with breakfast,,,,,,,,,,,
(also known as prilosec) 1 capsule by mouth with dinner,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,,,,,,,,,,with dinner,,,,44,55,with dinner, with dinner,,,,,,,,,,,
(also known as pyridium) 1 tablet by mouth tid prn for 2 day(s) as needed for urinary burning,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,3,,1,,day,,,,,,,,,43,46,tid,3 times per day,2,,day,51,60,2 day,1,urinary burning,47,93,prn for 2 day(s) as needed for urinary burning
(also known as pyridium) 1 tablet by mouth tid prn for 4 day(s) as needed for painful urination,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,3,,1,,day,,,,,,,,,43,46,tid,3 times per day,4,,day,51,60,4 day,1,pain,47,95,prn for 4 day(s) as needed for painful urination
(also known as pyridium) 1 tablet by mouth tid prn for 5 day(s) as needed for urinary burning,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,3,,1,,day,,,,,,,,,43,46,tid,3 times per day,5,,day,51,60,5 day,1,urinary burning,47,93,prn for 5 day(s) as needed for urinary burning
(also known as reglan) 1 tablet by mouth before each meal,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,,,,,,,,,,before meal,,,,41,57,before each meal, before meal,,,,,,,,,,,
(also known as rocaltrol) 1 capsule by mouth every other day,,,,,1,,capsule,25,35, 1 capsule,,,,,,,oral,36,44,by mouth,1,,2,,day,,,,,,,,,45,60,every other day,every 2 days,,,,,,,,,,,
(also known as vitamin b-12) 1 milliliter (1000 mcg) subcutaneously every month,,,,,1,,mL,28,41, 1 milliliter,1000,,mcg,41,51, (1000 mcg,subcutaneous,53,67,subcutaneously,1,,1,,month,,,,,,,,,68,79,every month,every month,,,,,,,,,,,
(also known as vitamin d2) 1 capsule by mouth every month,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,month,,,,,,,,,46,57,every month,every month,,,,,,,,,,,
(also known as vitamin d2) 1 capsule by mouth every week,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,,,,,,,,,,,
(also known as vitamin d2) 1 capsule by mouth every week for 12 weeks,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,12,,week,57,68,12 week,,,,,
(also known as vitamin d2) 1 capsule by mouth every week for 16 weeks,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,16,,week,57,68,16 week,,,,,
(also known as vitamin d2) 1 capsule by mouth every week for 6 weeks,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,6,,week,57,67,6 week,,,,,
(also known as vitamin d2) 1 capsule by mouth every week for 8 weeks,,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,8,,week,57,67,8 week,,,,,
(also known as vitamin d2) 1 capsule by mouth every week for 90 day(s),,,,,1,,capsule,26,36, 1 capsule,,,,,,,oral,37,45,by mouth,1,,1,,week,,,,,,,,,46,56,every week,every week,90,,day,57,67,90 day,,,,,
(also known as zaroxolyn) 1 tablet by mouth every other day,,,,,1,,tablet,25,31, 1 tab,,,,,,,oral,35,43,by mouth,1,,2,,day,,,,,,,,,44,59,every other day,every 2 days,,,,,,,,,,,
(also known as zithromax) 2 tablets by mouth every week,,,,,2,,tablet,25,31, 2 tab,,,,,,,oral,36,44,by mouth,1,,1,,week,,,,,,,,,45,55,every week,every week,,,,,,,,,,,
(also known as zocor) 1 tablet by mouth with dinner,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,,,,,,,,,,with dinner,,,,40,51,with dinner, with dinner,,,,,,,,,,,
(fosamax) 1 tablet by mouth every week,,,,,1,,tablet,9,15, 1 tab,,,,,,,oral,19,27,by mouth,1,,1,,week,,,,,,,,,28,38,every week,every week,,,,,,,,,,,
(glucophage xr) 1 tablet by mouth with dinner,,,,,1,,tablet,15,21, 1 tab,,,,,,,oral,25,33,by mouth,,,,,,,,,,with dinner,,,,34,45,with dinner, with dinner,,,,,,,,,,,
(lasix) 1 tablet by mouth every other day,,,,,1,,tablet,7,13, 1 tab,,,,,,,oral,17,25,by mouth,1,,2,,day,,,,,,,,,26,41,every other day,every 2 days,,,,,,,,,,,
(macrobid) 1 capsule by mouth daily,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,30,35,daily,daily,,,,,,,,,,,
(macrobid) 1 capsule by mouth every 12 hours for 7 days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,12,,hour,,,,,,,,,30,43,every 12 hour,every 12 hours,7,,day,45,54,7 day,,,,,
(macrobid) 1 capsule by mouth every 12 hours for seven days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,12,,hour,,,,,,,,,30,43,every 12 hour,every 12 hours,7,,day,45,58,seven day,,,,,
(macrobid) 1 capsule by mouth twice a day for 7 days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,38,41,day,daily,7,,day,42,51,7 day,,,,,
(macrobid) 1 capsule by mouth twice a day for five days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,38,41,day,daily,5,,day,42,54,five day,,,,,
(macrobid) 1 capsule by mouth twice a day for seven days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,38,41,day,daily,7,,day,42,55,seven day,,,,,
(macrobid) 1 capsule by mouth twice a day for ten days,,,,,1,,capsule,10,20, 1 capsule,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,38,41,day,daily,10,,day,42,53,ten day,,,,,
0.1 mg bid,,,,,,,,,,,0.1,,mg,0,6,0.1 mg,,,,,2,,1,,day,,,,,,,,,7,10,bid,twice daily,,,,,,,,,,,
0.5 (one half) tablet by mouth every other day,,,,,,,,,,,,,,,,,oral,22,30,by mouth,1,,2,,day,,,,,,,,,31,46,every other day,every 2 days,,,,,,,,,,,
0.5 mg bid,,,,,,,,,,,0.5,,mg,0,6,0.5 mg,,,,,2,,1,,day,,,,,,,,,7,10,bid,twice daily,,,,,,,,,,,
0.5 mg po bid,,,,,,,,,,,0.5,,mg,0,6,0.5 mg,oral,7,9,po,2,,1,,day,,,,,,,,,10,13,bid,twice daily,,,,,,,,,,,
0.5 mg tid,,,,,,,,,,,0.5,,mg,0,6,0.5 mg,,,,,3,,1,,day,,,,,,,,,7,10,tid,3 times per day,,,,,,,,,,,
0.5 milliliter subcutaneously every month,,,,,0.5,,mL,0,14,0.5 milliliter,,,,,,,subcutaneous,15,29,subcutaneously,1,,1,,month,,,,,,,,,30,41,every month,every month,,,,,,,,,,,
0.5 milliliter subcutaneously every week,,,,,0.5,,mL,0,14,0.5 milliliter,,,,,,,subcutaneous,15,29,subcutaneously,1,,1,,week,,,,,,,,,30,40,every week,every week,,,,,,,,,,,
0.5 tablet by mouth every other day,,,,,0.5,,tablet,0,7,0.5 tab,,,,,,,oral,11,19,by mouth,1,,2,,day,,,,,,,,,20,35,every other day,every 2 days,,,,,,,,,,,
0.5 tablet by mouth every week,,,,,0.5,,tablet,0,7,0.5 tab,,,,,,,oral,11,19,by mouth,1,,1,,week,,,,,,,,,20,30,every week,every week,,,,,,,,,,,
0.5 tablet by mouth every week for 90 day(s),,,,,0.5,,tablet,0,7,0.5 tab,,,,,,,oral,11,19,by mouth,1,,1,,week,,,,,,,,,20,30,every week,every week,90,,day,31,41,90 day,,,,,
0.5mg bid,,,,,,,,,,,0.5,,mg,0,5,0.5mg,,,,,2,,1,,day,,,,,,,,,6,9,bid,twice daily,,,,,,,,,,,
0.5mg po bid,,,,,,,,,,,0.5,,mg,0,5,0.5mg,oral,6,8,po,2,,1,,day,,,,,,,,,9,12,bid,twice daily,,,,,,,,,,,
0.5mg po tid,,,,,,,,,,,0.5,,mg,0,5,0.5mg,oral,6,8,po,3,,1,,day,,,,,,,,,9,12,tid,3 times per day,,,,,,,,,,,
0.5mg tid,,,,,,,,,,,0.5,,mg,0,5,0.5mg,,,,,3,,1,,day,,,,,,,,,6,9,tid,3 times per day,,,,,,,,,,,
0.8 milliliters subcutaneously every other week,,,,,0.8,,mL,0,14,0.8 milliliter,,,,,,,subcutaneous,16,30,subcutaneously,1,,2,,week,,,,,,,,,31,47,every other week,every 2 weeks,,,,,,,,,,,
0.8 pen subcutaneously every other week,,,,,0.8,,pen,0,7,0.8 pen,,,,,,,subcutaneous,8,22,subcutaneously,1,,2,,week,,,,,,,,,23,39,every other week,every 2 weeks,,,,,,,,,,,
1 (one) capsule by mouth every day,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,day,,,,,,,,,25,34,every day,daily,,,,,,,,,,,
1 (one) capsule by mouth every month,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,month,,,,,,,,,25,36,every month,every month,,,,,,,,,,,
1 (one) capsule by mouth every other day,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,2,,day,,,,,,,,,25,40,every other day,every 2 days,,,,,,,,,,,
1 (one) capsule by mouth every other day for eight day(s),,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,2,,day,,,,,,,,,25,40,every other day,every 2 days,8,,day,41,54,eight day,,,,,
1 (one) capsule by mouth every other week,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,2,,week,,,,,,,,,25,41,every other week,every 2 weeks,,,,,,,,,,,
1 (one) capsule by mouth every week,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,,,,,,,,,,,
1 (one) capsule by mouth every week for eight weeks,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,8,,week,36,50,eight week,,,,,
1 (one) capsule by mouth every week for six months,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,6,,month,36,49,six month,,,,,
1 (one) capsule by mouth every week for six weeks,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,6,,week,36,48,six week,,,,,
1 (one) capsule by mouth every week for three months,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,3,,month,36,51,three month,,,,,
1 (one) capsule by mouth every week for twelve weeks,,,,,1,,capsule,1,15, (one) capsule,,,,,,,oral,16,24,by mouth,1,,1,,week,,,,,,,,,25,35,every week,every week,12,,week,36,51,twelve week,,,,,
1 (one) milliliter subcutaneously every week,,,,,1,,mL,1,18, (one) milliliter,,,,,,,subcutaneous,19,33,subcutaneously,1,,1,,week,,,,,,,,,34,44,every week,every week,,,,,,,,,,,
"1 (one) patch on dry, cleaned skin every other day",,,,,1,,transdermal patch,1,13, (one) patch,,,,,,,topical,22,34,cleaned skin,1,,2,,day,,,,,,,,,35,50,every other day,every 2 days,,,,,,,,,,,
"1 (one) patch on dry, cleaned skin every week",,,,,1,,transdermal patch,1,13, (one) patch,,,,,,,topical,22,34,cleaned skin,1,,1,,week,,,,,,,,,35,45,every week,every week,,,,,,,,,,,
"1 (one) patch on dry, cleaned skin every week for three weeks",,,,,1,,transdermal patch,1,13, (one) patch,,,,,,,topical,22,34,cleaned skin,1,,1,,week,,,,,,,,,35,45,every week,every week,3,,week,46,60,three week,,,,,
"1 (one) patch on dry, cleaned skin every week for twenty-eight days",,,,,1,,transdermal patch,1,13, (one) patch,,,,,,,topical,22,34,cleaned skin,1,,1,,week,,,,,,,,,35,45,every week,every week,20,8,day,46,66,twenty-eight day,,,,,
1 (one) pen subcutaneously every other week,,,,,1,,pen,1,11, (one) pen,,,,,,,subcutaneous,12,26,subcutaneously,1,,2,,week,,,,,,,,,27,43,every other week,every 2 weeks,,,,,,,,,,,
1 (one) pen subcutaneously every week,,,,,1,,pen,1,11, (one) pen,,,,,,,subcutaneous,12,26,subcutaneously,1,,1,,week,,,,,,,,,27,37,every week,every week,,,,,,,,,,,
1 (one) syringe subcutaneously every other week,,,,,1,,syringe,1,15, (one) syringe,,,,,,,subcutaneous,16,30,subcutaneously,1,,2,,week,,,,,,,,,31,47,every other week,every 2 weeks,,,,,,,,,,,
1 (one) syringe subcutaneously every week,,,,,1,,syringe,1,15, (one) syringe,,,,,,,subcutaneous,16,30,subcutaneously,1,,1,,week,,,,,,,,,31,41,every week,every week,,,,,,,,,,,
1 (one) tablet by mouth every day,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,1,,day,,,,,,,,,24,33,every day,daily,,,,,,,,,,,
"1 (one) tablet by mouth every monday, wednesday and friday",,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,1,,day,,,,,,,,,33,36,day,daily,,,,,,,,,,,
1 (one) tablet by mouth every month,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,1,,month,,,,,,,,,24,35,every month,every month,,,,,,,,,,,
1 (one) tablet by mouth every other day,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,2,,day,,,,,,,,,24,39,every other day,every 2 days,,,,,,,,,,,
1 (one) tablet by mouth every other day for five days,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,2,,day,,,,,,,,,24,39,every other day,every 2 days,5,,day,40,52,five day,,,,,
1 (one) tablet by mouth every week,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,1,,1,,week,,,,,,,,,24,34,every week,every week,,,,,,,,,,,
1 (one) tablet by mouth with breakfast,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,,,,,,,,,,with breakfast,,,,24,38,with breakfast, with breakfast,,,,,,,,,,,
1 (one) tablet by mouth with dinner,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,,,,,,,,,,with dinner,,,,24,35,with dinner, with dinner,,,,,,,,,,,
1 (one) tablet by mouth with lunch,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,,,,,,,,,,with lunch,,,,24,34,with lunch, with lunch,,,,,,,,,,,
1 bid,,,,,,,,,,,,,,,,,,,,,2,,1,,day,,,,,,,,,2,5,bid,twice daily,,,,,,,,,,,
1 by mouth every day,,,,,,,,,,,,,,,,,oral,2,10,by mouth,1,,1,,day,,,,,,,,,11,20,every day,daily,,,,,,,,,,,
"1 cap orally three times daily, with meals",,,,,1,,capsule,0,5,1 cap,,,,,,,oral,6,12,orally,3,,1,,day,,,,,,,,,13,30,three times daily,3 times per day,,,,,,,,,,,
1 cap orally twice daily with meals,,,,,1,,capsule,0,5,1 cap,,,,,,,oral,6,12,orally,2,,1,,day,,,,,,,,,13,24,twice daily,twice daily,,,,,,,,,,,
1 capsule by mouth before each meal,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,,,,,,,,,,before meal,,,,19,35,before each meal, before meal,,,,,,,,,,,
1 capsule by mouth every month,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,1,,month,,,,,,,,,19,30,every month,every month,,,,,,,,,,,
1 capsule by mouth every month for 3 months,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,1,,month,,,,,,,,,19,30,every month,every month,3,,month,31,42,3 month,,,,,
1 capsule by mouth every month for 6 months,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,1,,month,,,,,,,,,19,30,every month,every month,6,,month,31,42,6 month,,,,,
1 capsule by mouth every other day,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,2,,day,,,,,,,,,19,34,every other day,every 2 days,,,,,,,,,,,
1 capsule by mouth every other day for 7 days,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,2,,day,,,,,,,,,19,34,every other day,every 2 days,7,,day,35,44,7 day,,,,,
1 capsule by mouth every other day for 8 day(s),,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,2,,day,,,,,,,,,19,34,every other day,every 2 days,8,,day,35,44,8 day,,,,,
1 capsule by mouth every other day for 8 days,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,2,,day,,,,,,,,,19,34,every other day,every 2 days,8,,day,35,44,8 day,,,,,
1 capsule by mouth every other week,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,2,,week,,,,,,,,,19,35,every other week,every 2 weeks,,,,,,,,,,,
1 capsule by mouth every week,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,1,,week,,,,,,,,,19,29,every week,every week,,,,,,,,,,,
